Date,Group,Indexed Value
10/31/2020,S&P BSE Midcap,207.2788154
11/30/2020,S&P BSE Midcap,234.3571698
12/31/2020,S&P BSE Midcap,249.5117861
1/31/2021,S&P BSE Midcap,251.4666956
2/28/2021,S&P BSE Midcap,277.8434409
3/31/2021,S&P BSE Midcap,280.6618371
4/30/2021,S&P BSE Midcap,282.4821267
5/31/2021,S&P BSE Midcap,302.5943167
6/30/2021,S&P BSE Midcap,313.4078575
7/31/2021,S&P BSE Midcap,321.0743792
8/31/2021,S&P BSE Midcap,331.7300753
9/30/2021,S&P BSE Midcap,351.1951718
10/31/2021,S&P BSE Midcap,351.5377016
11/30/2021,S&P BSE Midcap,351.7502009
12/31/2021,S&P BSE Midcap,347.2593467
1/31/2022,S&P BSE Midcap,342.2935678
2/28/2022,S&P BSE Midcap,324.8068837
3/31/2022,S&P BSE Midcap,335.2699676
4/30/2022,S&P BSE Midcap,339.5821166
5/31/2022,S&P BSE Midcap,321.8615164
6/30/2022,S&P BSE Midcap,301.9664149
7/31/2022,S&P BSE Midcap,334.4762941
8/31/2022,S&P BSE Midcap,353.096122
9/30/2022,S&P BSE Midcap,345.6441856
10/31/2022,S&P BSE Midcap,352.6683422
11/30/2022,S&P BSE Midcap,360.8994888
12/31/2022,S&P BSE Midcap,352.0492017
1/31/2023,S&P BSE Midcap,342.7068844
2/28/2023,S&P BSE Midcap,335.9651794
3/31/2023,S&P BSE Midcap,334.6805882
4/30/2023,S&P BSE Midcap,354.5236774
5/31/2023,S&P BSE Midcap,376.8808774
6/30/2023,S&P BSE Midcap,400.1911252
7/31/2023,S&P BSE Midcap,423.0480043
8/31/2023,S&P BSE Midcap,433.9072991
9/30/2023,S&P BSE Midcap,449.7628292
10/31/2023,S&P BSE Midcap,434.5261614
11/30/2023,S&P BSE Midcap,476.4046422
12/31/2023,S&P BSE Midcap,512.3236878
1/31/2024,S&P BSE Midcap,539.2376612
2/29/2024,S&P BSE Midcap,547.1991507
3/31/2011,S&P BSE Smallcap,100
4/30/2011,S&P BSE Smallcap,97.96
5/31/2011,S&P BSE Smallcap,92.56941304
6/30/2011,S&P BSE Smallcap,91.68010501
7/31/2011,S&P BSE Smallcap,93.35463877
8/31/2011,S&P BSE Smallcap,80.15776614
9/29/2011,S&P BSE Smallcap,77.34327256
10/31/2011,S&P BSE Smallcap,78.39454886
11/30/2011,S&P BSE Smallcap,68.53314335
12/31/2011,S&P BSE Smallcap,62.38351985
1/31/2012,S&P BSE Smallcap,72.64742941
2/29/2012,S&P BSE Smallcap,77.10633357
3/31/2012,S&P BSE Smallcap,74.514167
4/30/2012,S&P BSE Smallcap,76.03426329
5/31/2012,S&P BSE Smallcap,70.48597927
6/30/2012,S&P BSE Smallcap,73.55168663
7/31/2012,S&P BSE Smallcap,72.47422116
8/31/2012,S&P BSE Smallcap,71.88074967
9/30/2012,S&P BSE Smallcap,78.88101564
10/31/2012,S&P BSE Smallcap,78.55820312
11/30/2012,S&P BSE Smallcap,81.77823554
12/31/2012,S&P BSE Smallcap,82.95045413
1/31/2013,S&P BSE Smallcap,79.51247829
2/28/2013,S&P BSE Smallcap,69.7578527
3/31/2013,S&P BSE Smallcap,65.24420979
4/30/2013,S&P BSE Smallcap,67.6736996
5/31/2013,S&P BSE Smallcap,66.80070888
6/30/2013,S&P BSE Smallcap,63.42957412
7/31/2013,S&P BSE Smallcap,59.69293524
8/31/2013,S&P BSE Smallcap,58.34634707
